N,P,K,temperature,humidity,ph,rainfall,label
16.61,128.34,198.26,22.5,94.63,5.75,112.1,apple
40.27,144.93,197.01,20.09,82.7,5.91,63.16,grapes
20.82,30.18,38.85,37.48,52.39,5.71,90.55,mango
9.0,13.0,28.44,28.68,94.98,6.28,155.19,coconut
42.19,79.17,17.09,28.75,64.0,6.3,44.68,lentil
22.81,47.13,21.23,29.86,75.02,6.33,59.65,mungbean
109.5,18.09,50.25,28.25,92.33,6.19,23.97,muskmelon
29.91,24.56,29.5,29.99,93.53,6.06,190.52,coconut
31.52,12.44,7.81,20.72,94.46,7.32,113.52,orange
110.77,24.87,49.16,28.92,92.84,6.76,28.23,muskmelon
27.58,29.22,12.89,26.24,91.28,7.38,107.37,orange
15.59,66.7,18.6,16.2,70.53,6.43,138.71,pigeonpeas
36.25,115.59,203.85,22.31,92.54,5.73,107.68,apple
40.98,69.43,85.05,19.27,16.49,6.48,77.23,chickpea
42.79,66.2,19.22,32.14,66.38,6.65,70.41,blackgram
104.49,37.24,32.75,24.45,63.17,6.5,181.3,coffee
44.0,75.28,16.62,16.19,21.72,5.82,91.86,kidneybeans
25.54,9.54,26.71,24.73,97.04,6.21,203.98,coconut
41.94,65.29,89.62,18.7,17.25,6.74,72.45,chickpea
29.44,42.98,19.51,27.1,39.08,6.74,48.38,mothbeans
21.27,46.36,17.53,27.93,38.92,4.94,51.94,mothbeans
27.52,132.02,192.83,21.75,81.39,5.88,71.04,grapes
47.53,69.88,95.56,19.67,16.79,5.79,78.43,chickpea
16.74,13.58,17.03,17.41,92.73,7.11,116.49,orange
23.85,66.49,21.1,21.35,65.33,6.11,38.4,lentil
44.99,56.92,19.57,27.97,67.07,7.15,54.63,blackgram
106.87,79.78,47.9,25.66,79.89,6.34,95.33,banana
34.56,10.09,32.08,28.53,92.56,6.5,190.21,coconut
34.4,16.94,16.91,29.59,93.04,7.25,112.11,orange
89.32,49.29,40.3,24.4,86.78,5.33,193.98,rice
10.38,45.31,14.45,31.21,78.43,7.22,59.73,mungbean
12.59,20.52,30.79,26.19,92.69,5.99,192.87,coconut
23.25,123.55,197.01,27.49,80.12,5.61,65.11,grapes
13.61,31.5,20.97,27.81,41.14,7.15,49.55,mothbeans
28.48,24.69,30.17,29.6,101.0,6.13,162.67,coconut
19.63,66.14,19.23,22.75,21.65,5.58,77.94,kidneybeans
34.39,16.73,29.08,27.07,97.15,6.09,191.55,coconut
36.96,51.74,17.97,27.9,43.8,7.29,60.88,mothbeans
100.58,80.04,45.23,27.32,84.93,6.12,108.05,banana
14.75,19.48,17.62,24.26,93.51,7.55,116.18,orange
114.94,29.58,48.08,24.8,86.68,6.44,40.28,watermelon
105.45,33.04,30.53,24.98,58.25,6.76,178.12,coffee
48.44,69.95,21.13,26.04,65.13,6.93,68.64,blackgram
109.22,31.39,46.71,28.15,93.53,6.51,22.32,muskmelon
98.53,27.62,26.21,26.33,60.91,7.13,175.0,coffee
111.98,25.11,48.95,29.28,92.65,6.31,27.89,muskmelon
9.52,133.52,196.2,23.19,94.01,5.84,117.46,apple
93.39,72.67,47.37,28.24,80.64,5.97,102.45,banana
95.8,44.23,18.95,21.87,58.28,5.91,72.45,maize
101.18,27.94,50.34,29.39,92.93,6.48,27.61,muskmelon
40.83,62.95,24.37,32.6,63.15,6.25,63.07,blackgram
8.19,122.05,190.79,23.26,94.09,5.92,110.64,apple
45.04,69.32,18.73,28.72,62.0,7.42,65.07,blackgram
26.12,49.78,20.02,23.83,46.2,10.35,47.3,mothbeans
103.68,21.57,52.68,24.67,85.81,6.11,48.26,watermelon
92.68,99.51,52.11,28.43,81.23,5.6,106.97,banana
97.5,26.56,46.63,26.89,87.98,6.45,45.98,watermelon
29.53,61.9,16.3,30.52,53.6,5.17,57.55,mothbeans
89.92,40.65,39.12,23.53,89.19,5.87,233.43,rice
39.45,13.39,26.72,25.32,97.69,5.91,179.29,coconut
22.61,31.25,30.47,32.35,50.78,4.82,98.04,mango
32.55,127.7,194.26,38.51,81.25,5.46,69.22,grapes
31.6,14.25,43.74,20.08,89.09,6.44,112.61,pomegranate
20.15,61.91,21.49,16.84,21.69,5.58,95.6,kidneybeans
22.59,115.58,194.94,24.92,82.06,6.48,67.8,grapes
66.68,42.44,44.75,24.48,89.6,5.69,161.83,jute
108.3,45.72,40.18,22.66,86.2,5.88,271.13,rice
114.18,44.61,21.77,24.96,79.75,6.22,84.64,cotton
29.33,46.7,23.52,28.89,86.08,6.74,51.96,mungbean
34.3,60.13,20.08,27.02,67.31,6.72,64.11,blackgram
29.06,79.97,27.5,19.56,20.73,5.82,96.1,kidneybeans
98.84,48.49,36.3,22.24,83.85,6.15,250.31,rice
26.78,131.7,195.88,26.97,81.07,6.32,65.12,grapes
8.18,122.79,196.81,21.63,94.34,5.67,120.91,apple
30.12,35.43,49.2,21.07,84.25,5.94,107.87,pomegranate
33.78,68.34,20.2,30.13,41.38,5.77,85.43,pigeonpeas
70.96,42.9,23.09,24.96,68.05,5.84,81.04,maize
95.95,42.21,17.52,17.65,61.81,5.75,105.53,maize
26.39,121.3,195.87,21.39,89.64,5.72,102.69,apple
25.82,75.8,20.78,24.62,54.56,5.46,129.16,pigeonpeas
23.17,18.22,33.24,28.31,96.75,6.18,181.54,coconut
28.5,75.91,21.31,27.03,72.72,6.31,167.21,pigeonpeas
51.7,54.91,51.76,34.74,92.57,6.94,179.77,papaya
56.07,59.04,46.46,31.76,91.73,6.69,76.54,papaya
49.38,57.45,82.73,18.23,15.59,6.56,78.55,chickpea
36.61,13.57,12.88,17.79,93.55,6.73,109.51,orange
114.96,53.27,39.86,23.99,82.19,6.67,243.88,rice
19.02,19.88,15.09,23.39,94.5,7.23,114.57,orange
21.17,51.54,19.58,23.02,65.98,6.19,43.4,lentil
32.73,25.12,32.98,34.83,53.99,6.15,91.73,mango
112.37,80.91,48.85,27.33,77.34,6.26,99.72,banana
121.25,65.16,49.55,29.52,80.3,6.19,105.5,banana
71.3,31.5,39.27,25.9,76.94,6.54,171.79,jute
16.54,126.88,196.24,10.17,81.31,5.95,67.07,grapes
62.84,56.44,47.61,25.41,90.97,6.86,128.17,papaya
25.37,135.76,198.23,23.75,92.28,6.16,117.53,apple
36.43,123.61,203.5,32.58,81.85,5.55,67.43,grapes
95.08,20.3,45.58,25.51,84.87,6.66,47.76,watermelon
134.09,47.62,15.76,24.37,78.26,6.57,86.96,cotton
36.39,78.37,22.45,18.65,19.79,5.65,91.53,kidneybeans
110.3,39.87,52.38,27.13,82.69,6.3,43.04,watermelon
18.52,75.5,22.6,30.27,48.7,6.11,128.79,pigeonpeas
15.79,63.8,20.9,20.41,61.27,5.45,48.6,lentil
93.16,19.71,49.35,27.38,92.61,6.81,25.34,muskmelon
103.14,80.52,50.79,27.27,82.08,6.32,105.39,banana
20.52,57.03,19.73,24.1,65.4,6.76,43.82,lentil
14.9,137.15,198.17,22.1,93.51,5.79,113.1,apple
26.68,72.66,18.91,15.69,23.62,5.92,68.85,kidneybeans
22.34,23.8,36.64,30.54,51.0,4.92,93.81,mango
96.28,45.13,19.49,21.19,59.93,6.01,69.7,maize
33.25,8.59,8.85,23.93,91.59,8.69,112.58,orange
34.98,26.75,28.3,30.79,46.28,5.05,96.94,mango
28.94,12.01,26.8,27.41,92.74,6.2,203.33,coconut
108.7,56.78,41.03,26.78,83.07,5.28,186.64,rice
15.76,20.18,7.04,26.27,93.29,6.17,117.75,orange
100.43,19.15,27.17,25.52,57.98,6.26,153.82,coffee
128.7,58.19,23.02,24.44,82.26,5.92,87.76,cotton
28.28,68.66,21.06,28.56,62.79,5.15,129.69,pigeonpeas
39.4,63.74,18.42,27.87,63.65,7.03,63.89,blackgram
92.07,31.87,52.97,27.76,91.89,6.37,31.58,muskmelon
31.43,57.98,17.99,30.85,74.36,6.3,50.21,mungbean
83.53,30.19,27.99,23.98,55.83,6.95,190.73,coffee
121.9,45.96,37.9,22.45,79.69,5.55,217.23,rice
101.2,28.38,50.52,28.84,93.04,6.06,26.59,muskmelon
34.63,71.15,47.59,32.65,92.82,6.71,129.77,papaya
54.82,52.76,47.95,38.46,92.4,6.79,128.91,papaya
14.86,37.6,21.03,29.23,83.92,7.01,56.33,mungbean
28.45,126.28,198.46,23.06,82.67,5.61,66.14,grapes
37.23,29.81,32.05,28.87,50.99,5.68,102.87,mango
30.26,50.74,21.24,29.5,84.06,7.35,53.57,mungbean
43.02,72.29,95.17,18.9,16.69,5.92,73.8,chickpea
82.08,49.2,16.81,20.07,70.27,6.24,93.52,maize
32.71,39.84,36.89,31.53,52.58,6.66,92.6,mango
18.32,9.18,47.52,20.3,92.91,6.65,103.57,pomegranate
24.98,12.51,36.56,27.29,98.23,5.61,173.07,coconut
26.87,13.5,34.08,31.49,46.59,5.17,99.05,mango
71.65,60.91,17.03,23.2,68.17,6.41,82.68,maize
20.88,19.26,31.14,28.37,96.15,6.0,170.69,coconut
26.56,49.42,17.26,26.24,58.49,5.56,62.42,mothbeans
100.23,86.41,50.48,28.79,79.81,5.95,107.96,banana
32.24,22.01,24.95,29.15,95.23,6.1,165.54,coconut
90.09,47.17,40.25,22.62,81.12,5.78,208.13,rice
20.44,64.19,17.36,33.31,47.41,5.97,132.89,pigeonpeas
82.04,25.37,29.44,25.41,60.18,6.8,144.81,coffee
50.7,67.33,81.99,18.84,15.88,6.0,78.92,chickpea
27.46,22.95,29.58,30.85,93.49,6.44,183.62,coconut
26.93,59.74,20.84,26.76,30.92,5.21,137.59,pigeonpeas
44.47,52.67,51.63,27.88,94.17,6.84,146.08,papaya
105.91,23.83,51.91,28.8,91.97,6.47,24.63,muskmelon
19.75,41.02,21.66,28.5,78.94,6.21,52.59,mungbean
97.63,47.57,40.2,27.55,80.33,6.01,191.62,rice
108.89,29.71,31.5,27.09,59.25,6.33,191.26,coffee
27.83,60.49,21.77,30.05,64.65,6.59,63.47,blackgram
36.52,24.17,43.62,22.96,88.42,6.57,96.46,pomegranate
34.55,122.35,196.8,24.13,94.31,5.58,114.92,apple
96.07,13.1,49.48,25.97,89.51,6.2,45.9,watermelon
50.24,71.2,92.36,18.45,15.77,6.25,78.72,chickpea
93.72,9.6,50.9,25.55,86.39,6.44,45.89,watermelon
106.67,82.32,53.41,27.66,77.94,5.74,109.09,banana
97.87,25.9,31.53,25.09,69.09,6.82,171.0,coffee
95.53,27.36,29.51,27.32,54.38,6.52,151.05,coffee
34.96,61.37,18.84,19.31,22.18,5.72,77.53,kidneybeans
38.92,48.9,19.13,24.78,43.03,6.2,57.2,mothbeans
81.92,29.64,50.87,24.74,81.18,6.88,52.8,watermelon
36.08,61.14,17.43,29.07,66.61,7.1,62.52,blackgram
90.67,76.27,51.72,25.72,77.87,5.84,108.49,banana
114.25,41.42,21.17,24.91,82.35,6.53,78.66,cotton
21.72,73.06,22.59,15.27,19.61,5.56,76.87,kidneybeans
69.77,45.89,15.83,23.4,68.24,6.07,104.67,maize
94.53,15.61,48.92,28.32,92.84,6.56,22.93,muskmelon
31.85,18.66,17.36,23.9,90.65,7.73,105.26,orange
27.23,37.5,34.54,22.22,95.34,6.36,118.25,pomegranate
84.3,53.94,20.6,21.92,64.02,6.22,84.53,maize
116.13,32.1,52.34,28.78,91.1,6.49,27.43,muskmelon
32.07,129.09,196.18,43.26,81.91,6.29,66.0,grapes
49.89,63.35,51.75,34.15,91.14,6.57,150.59,papaya
100.59,15.79,49.2,29.54,92.9,6.49,29.74,muskmelon
18.12,15.21,12.62,20.32,93.63,7.11,114.54,orange
109.16,22.28,49.46,28.4,91.53,6.39,24.32,muskmelon
84.55,46.81,38.22,25.65,84.2,5.45,166.84,jute
21.25,133.35,204.51,18.59,80.33,5.5,66.94,grapes
85.75,54.53,43.03,24.59,75.28,5.99,164.09,jute
54.0,49.05,39.25,24.02,81.58,6.29,169.05,jute
96.4,33.1,30.23,25.37,57.62,6.81,187.46,coffee
117.75,43.58,20.54,24.07,79.94,6.4,75.7,cotton
36.06,23.55,43.32,23.76,89.67,5.75,120.72,pomegranate
114.15,54.84,17.37,23.02,79.87,5.96,71.15,cotton
26.07,67.23,16.17,19.4,21.86,5.74,99.05,kidneybeans
34.47,17.14,10.72,18.35,92.2,6.78,112.77,orange
103.68,19.22,29.56,24.59,61.79,6.88,181.01,coffee
36.45,74.26,16.72,19.59,22.99,5.8,98.64,kidneybeans
11.65,122.84,194.63,24.33,81.36,6.19,66.42,grapes
24.74,135.43,206.3,13.1,81.9,5.7,73.47,grapes
44.89,71.47,94.44,19.41,16.64,6.5,94.25,chickpea
22.15,23.56,43.19,30.05,51.84,5.4,92.7,mango
27.98,19.39,41.45,19.04,89.73,6.67,113.43,pomegranate
73.02,52.73,52.51,31.44,91.14,6.76,179.08,papaya
13.68,77.08,16.44,18.03,20.36,5.82,65.02,kidneybeans
105.51,21.5,25.84,26.2,68.72,6.38,190.28,coffee
31.54,27.43,45.59,21.21,93.0,6.25,110.29,pomegranate
21.6,58.29,17.78,30.46,83.84,7.22,51.66,mungbean
43.43,49.03,48.38,31.77,89.54,6.73,193.53,papaya
35.23,64.64,19.89,18.6,22.27,5.47,77.42,kidneybeans
25.37,52.31,18.48,28.73,47.33,3.68,65.11,mothbeans
28.33,25.13,29.7,25.77,97.64,6.36,205.21,coconut
26.54,57.35,24.72,23.51,66.74,5.94,46.54,lentil
14.9,18.26,44.57,20.22,89.25,5.64,110.93,pomegranate
24.53,24.7,38.29,31.01,53.98,6.67,90.54,mango
11.9,69.57,17.38,29.13,66.31,6.1,41.27,lentil
26.5,78.55,20.8,26.48,63.9,6.79,73.52,blackgram
110.38,87.28,54.32,25.68,76.79,5.87,106.04,banana
92.03,25.93,51.54,26.4,81.28,6.44,49.18,watermelon
116.77,73.37,52.98,27.68,75.71,6.68,104.68,banana
104.48,36.49,51.05,26.89,86.35,6.77,46.29,watermelon
26.0,21.72,9.51,19.64,92.94,7.17,112.54,orange
75.11,54.03,21.7,26.66,67.92,6.12,92.38,maize
20.05,73.65,20.31,22.57,61.74,5.91,36.79,lentil
88.47,88.55,51.0,28.34,80.81,6.04,96.37,banana
32.87,65.08,19.89,18.54,18.12,5.75,76.38,kidneybeans
56.73,59.34,48.38,30.2,90.7,6.64,248.01,papaya
9.0,52.39,19.94,31.0,78.39,5.56,56.4,mungbean
31.11,15.59,30.12,28.01,90.61,6.14,152.21,coconut
124.28,43.1,20.51,23.08,83.79,5.66,92.32,cotton
20.25,24.27,46.29,27.5,86.89,6.42,106.46,pomegranate
40.1,52.34,50.12,33.91,94.43,6.8,36.0,papaya
87.86,50.16,17.58,22.39,64.98,5.82,103.79,maize
134.4,49.7,18.35,24.8,81.41,6.26,82.66,cotton
24.53,140.4,199.03,21.98,90.48,5.72,112.96,apple
33.68,126.0,194.74,33.13,83.18,5.71,62.99,grapes
103.24,18.18,32.9,26.53,62.41,7.26,180.65,coffee
84.51,32.47,30.24,26.48,56.83,6.99,185.55,coffee
100.24,19.37,49.25,25.5,81.56,6.38,48.95,watermelon
59.07,56.93,41.28,25.61,74.62,6.18,178.44,jute
41.16,69.94,14.45,27.01,67.22,6.86,64.26,blackgram
19.49,18.46,32.67,34.71,49.94,6.14,103.32,mango
121.83,36.31,18.12,23.7,80.52,6.1,69.63,cotton
103.61,57.69,39.91,26.24,78.45,6.06,242.61,rice
33.12,13.71,8.96,20.58,91.29,7.28,104.19,orange
31.61,127.91,200.11,21.29,83.07,6.07,64.95,grapes
32.24,67.99,18.4,31.65,67.57,6.97,73.09,blackgram
20.0,48.74,18.48,28.99,79.93,6.21,55.73,mungbean
82.95,32.89,45.39,25.69,87.22,6.14,44.03,watermelon
92.78,48.69,20.12,19.44,68.73,6.49,112.04,maize
9.0,66.55,22.65,21.32,64.03,6.18,31.5,lentil
30.03,75.22,17.32,19.69,22.79,5.53,89.0,kidneybeans
33.61,130.49,192.63,7.2,82.15,5.95,63.84,grapes
100.05,48.83,36.46,22.76,84.14,5.45,235.16,rice
22.64,25.78,11.88,16.43,95.22,6.09,106.31,orange
35.47,71.85,93.47,19.09,19.22,5.82,78.55,chickpea
22.84,140.76,201.8,15.55,80.83,6.32,63.24,grapes
101.94,25.02,50.44,27.7,91.84,6.5,24.51,muskmelon
11.36,133.56,196.73,22.21,91.48,5.81,114.5,apple
14.91,62.12,23.44,27.06,64.09,6.57,46.71,lentil
23.66,49.97,21.73,29.47,37.61,6.29,58.96,mothbeans
22.43,49.24,18.73,26.31,40.61,5.97,52.7,mothbeans
78.41,47.33,17.67,21.5,60.58,6.19,106.4,maize
37.35,54.98,91.47,17.76,17.09,6.35,90.2,chickpea
26.93,22.42,39.69,22.09,88.64,6.93,103.65,pomegranate
98.73,20.87,46.45,24.86,85.5,6.58,48.06,watermelon
16.9,19.88,14.64,17.68,94.4,6.84,117.65,orange
14.71,57.55,22.07,30.18,41.53,6.51,39.25,mothbeans
87.28,47.82,21.83,22.32,65.39,5.5,96.45,maize
32.16,72.98,23.68,24.63,47.7,4.73,138.23,pigeonpeas
13.7,17.47,38.07,23.24,88.25,6.3,108.1,pomegranate
38.47,71.91,19.39,22.62,62.3,5.15,198.85,pigeonpeas
27.21,128.93,202.98,33.26,80.7,5.7,69.67,grapes
26.18,40.64,16.31,26.52,53.94,8.29,51.82,mothbeans
35.19,78.03,21.41,16.96,23.98,5.68,80.81,kidneybeans
30.26,65.09,19.74,28.79,39.46,7.04,53.45,mothbeans
76.87,48.19,44.09,23.96,81.02,6.11,181.5,jute
12.52,130.05,198.59,22.37,93.29,5.74,116.31,apple
121.36,49.76,16.94,22.16,77.95,6.79,83.34,cotton
27.54,61.3,20.05,19.6,60.58,6.39,43.08,lentil
89.55,34.77,29.63,25.54,52.47,7.13,182.84,coffee
104.61,72.99,51.99,25.53,80.03,5.98,98.64,banana
35.35,145.33,198.05,29.34,82.2,6.13,67.05,grapes
12.87,46.07,19.38,30.28,82.67,6.98,58.52,mungbean
54.22,67.04,51.92,41.26,91.19,6.79,153.15,papaya
69.98,45.74,24.49,23.94,62.14,6.46,102.49,maize
99.69,28.9,33.46,26.09,61.0,6.39,183.39,coffee
96.98,32.0,50.16,26.03,80.57,5.52,48.56,watermelon
9.0,66.33,15.92,33.23,57.77,6.04,195.63,pigeonpeas
43.83,74.53,15.64,31.02,64.31,6.79,67.29,blackgram
13.02,43.56,21.83,29.25,80.76,6.77,46.27,mungbean
34.17,52.26,86.66,20.42,18.39,6.61,89.27,chickpea
18.75,73.22,18.63,26.95,43.64,6.84,140.36,pigeonpeas
101.09,53.63,41.2,23.89,83.02,5.93,296.46,rice
89.67,26.73,28.77,26.82,57.39,6.73,181.34,coffee
100.22,25.37,32.23,24.18,61.95,6.44,168.61,coffee
81.87,44.71,20.49,24.92,59.87,6.3,76.25,maize
20.16,12.94,10.54,13.96,91.52,7.97,113.68,orange
100.63,19.54,47.72,29.03,93.56,6.65,28.79,muskmelon
24.4,126.84,201.6,23.23,93.02,6.01,116.61,apple
43.92,53.03,50.21,32.24,92.16,6.92,225.75,papaya
39.79,69.31,17.05,29.45,66.52,6.17,66.0,blackgram
91.07,38.01,50.96,25.58,84.38,6.57,48.55,watermelon
34.08,67.33,89.25,18.19,17.64,6.07,79.89,chickpea
9.0,17.53,10.78,15.85,91.81,6.71,109.76,orange
23.28,16.47,39.42,23.78,90.34,6.04,112.55,pomegranate
50.01,59.39,49.74,26.18,93.14,6.99,166.48,papaya
16.26,119.39,195.5,21.36,93.19,5.98,101.84,apple
22.12,76.27,21.74,17.72,20.28,5.79,90.79,kidneybeans
27.05,58.01,19.11,20.06,21.86,5.81,85.62,kidneybeans
105.71,35.43,51.18,25.58,82.53,6.63,55.59,watermelon
81.41,46.71,44.56,24.05,88.88,6.01,152.06,jute
24.56,26.12,35.96,29.13,49.52,6.22,98.21,mango
23.06,23.59,46.7,23.73,89.57,6.66,111.79,pomegranate
41.07,65.34,21.72,28.47,64.86,7.19,66.71,blackgram
111.79,50.25,22.27,24.21,78.0,6.42,75.98,cotton
30.11,76.26,21.63,15.87,22.58,5.63,80.2,kidneybeans
18.3,27.42,23.85,27.32,97.93,5.98,175.89,coconut
91.92,47.49,42.29,24.08,83.68,5.94,242.91,rice
25.43,68.21,20.46,26.76,67.55,6.03,41.92,lentil
85.52,48.9,23.41,22.78,62.85,6.3,91.79,maize
38.69,67.98,86.09,18.35,17.25,6.42,71.82,chickpea
92.29,35.75,50.48,29.0,90.63,6.8,28.25,muskmelon
28.85,22.19,9.66,26.39,93.91,6.95,120.01,orange
31.43,24.49,42.61,21.18,93.03,5.79,113.04,pomegranate
42.67,70.68,77.62,19.9,16.28,6.31,92.09,chickpea
37.54,61.87,21.26,23.74,68.14,6.4,43.83,lentil
73.24,58.76,19.9,19.28,65.64,5.99,95.51,maize
33.08,59.93,21.83,18.52,19.57,5.7,93.58,kidneybeans
35.09,21.57,31.18,28.27,94.0,5.99,164.7,coconut
75.23,28.76,53.8,28.59,91.21,6.37,29.42,muskmelon
105.87,25.05,51.36,24.89,88.89,6.75,42.46,watermelon
34.94,38.71,21.46,26.53,34.39,7.11,57.57,mothbeans
73.47,44.71,15.28,21.48,52.88,5.66,94.51,maize
85.6,54.25,22.08,23.53,64.65,5.63,90.37,maize
42.31,46.37,19.73,29.99,57.77,4.09,36.6,mothbeans
24.37,64.19,92.46,17.75,17.44,5.74,83.5,chickpea
50.47,65.4,16.65,31.86,64.49,6.76,73.04,blackgram
83.4,57.0,39.34,25.49,83.96,6.59,176.81,jute
61.78,50.47,51.75,28.51,92.63,6.84,110.38,papaya
20.71,71.75,17.13,19.67,21.69,5.53,76.53,kidneybeans
112.72,26.63,52.14,28.51,93.82,6.6,25.03,muskmelon
20.32,18.02,11.25,20.43,92.6,7.02,113.81,orange
48.08,62.2,18.94,28.87,60.51,6.63,68.66,blackgram
29.83,68.01,15.62,21.42,66.68,6.31,50.9,lentil
61.98,50.88,21.9,21.2,52.04,6.05,89.9,maize
14.46,41.34,20.5,27.84,40.66,5.97,55.22,mothbeans
27.74,24.71,40.05,17.91,90.93,6.8,107.04,pomegranate
9.0,41.46,24.07,26.84,36.2,6.43,65.51,mothbeans
96.17,18.06,50.67,25.64,85.97,6.24,41.5,watermelon
105.02,24.78,50.79,25.66,87.81,6.67,48.22,watermelon
18.15,44.89,20.86,29.94,79.13,6.57,60.37,mungbean
97.74,50.34,36.44,22.55,85.28,5.32,251.27,rice
86.48,30.14,49.34,28.17,92.46,6.51,27.24,muskmelon
29.85,66.15,17.82,31.69,57.21,5.18,190.66,pigeonpeas
87.79,51.04,35.1,21.18,85.49,6.03,245.14,rice
99.64,25.72,31.32,26.26,51.7,6.78,205.45,coffee
28.61,46.23,18.68,30.07,34.33,5.17,47.02,mothbeans
46.19,80.36,87.63,18.27,16.73,6.77,75.16,chickpea
127.92,83.07,51.97,23.38,83.76,6.19,102.58,banana
25.06,45.46,19.59,28.42,37.55,5.1,39.59,mothbeans
41.26,79.62,81.25,18.32,17.77,6.32,82.63,chickpea
17.2,71.87,23.62,23.05,64.4,6.8,47.53,lentil
98.38,27.48,51.87,25.96,84.17,6.58,49.3,watermelon
33.55,20.12,37.09,31.97,49.17,6.3,99.4,mango
93.35,47.76,41.39,26.34,76.88,5.92,175.2,jute
29.8,61.18,46.72,33.46,92.11,6.83,156.98,papaya
28.38,73.79,16.07,27.24,65.09,6.66,44.65,lentil
64.2,59.19,45.98,36.15,91.05,6.93,101.8,papaya
104.42,26.32,49.62,26.11,88.08,6.12,45.26,watermelon
35.35,66.84,104.03,17.5,17.38,6.43,88.14,chickpea
19.5,54.35,21.06,27.57,80.48,6.89,59.19,mungbean
102.54,30.23,50.98,27.72,93.31,6.61,22.32,muskmelon
23.49,70.55,24.51,18.17,22.08,5.59,73.04,kidneybeans
19.31,55.94,18.37,28.49,82.78,7.01,54.29,mungbean
53.51,66.1,49.45,31.37,93.17,6.53,132.57,papaya
11.35,69.19,15.22,27.17,36.32,6.99,177.34,pigeonpeas
20.13,48.03,20.03,28.96,42.99,3.77,46.75,mothbeans
102.87,23.71,29.35,26.65,65.34,6.32,155.86,coffee
28.03,51.97,20.57,29.09,84.72,7.01,56.54,mungbean
115.18,28.15,53.26,25.96,80.4,6.83,48.01,watermelon
28.82,122.11,203.56,18.45,83.14,6.05,68.45,grapes
40.86,60.8,69.24,19.44,18.36,5.36,72.43,chickpea
98.67,33.83,46.72,25.9,80.82,6.29,42.95,watermelon
26.05,27.84,28.37,33.39,51.58,6.18,99.73,mango
24.41,14.28,10.7,22.69,92.64,6.77,108.63,orange
23.07,25.52,12.11,17.13,93.35,6.85,113.1,orange
93.0,51.07,39.72,23.11,86.54,6.03,224.08,rice
97.55,46.23,37.78,22.07,84.81,5.88,248.3,rice
10.22,108.22,196.67,27.1,80.87,5.73,69.61,grapes
90.5,44.15,23.29,22.94,75.38,5.99,106.7,maize
34.4,44.7,18.27,24.06,45.78,10.07,52.08,mothbeans
35.09,69.75,18.75,21.15,64.15,5.87,45.24,lentil
121.29,45.98,14.22,24.02,80.75,6.06,68.45,cotton
94.9,48.65,37.55,22.72,85.94,6.03,212.34,rice
30.84,125.65,195.75,21.95,92.43,5.98,113.79,apple
18.65,28.4,11.7,16.23,92.05,6.35,117.17,orange
21.81,113.0,199.27,35.81,82.28,5.79,67.67,grapes
31.46,68.37,16.06,23.69,49.26,5.7,209.18,pigeonpeas
24.39,15.21,30.46,28.29,92.74,5.8,199.62,coconut
93.8,13.5,29.47,25.14,58.75,6.95,185.95,coffee
30.51,26.39,12.7,26.43,91.65,7.15,116.65,orange
20.41,6.02,10.85,15.4,92.79,6.67,115.56,orange
24.89,65.66,22.44,20.11,19.13,5.76,76.13,kidneybeans
132.66,46.3,18.5,23.22,78.78,5.48,72.75,cotton
98.79,30.45,48.99,26.12,79.02,6.25,51.17,watermelon
107.3,76.68,50.11,27.7,74.84,6.53,103.58,banana
123.67,80.14,46.77,25.79,80.04,6.14,102.04,banana
98.88,10.65,47.59,29.17,89.07,6.8,26.3,muskmelon
20.58,20.54,18.79,28.72,92.4,7.34,112.89,orange
22.93,116.79,199.62,19.49,79.84,5.91,71.18,grapes
41.16,45.53,17.65,29.81,79.49,7.31,53.58,mungbean
33.88,80.55,16.04,15.21,23.81,5.8,74.15,kidneybeans
33.95,124.5,200.88,26.76,82.45,6.11,61.48,grapes
94.23,54.18,37.18,24.43,88.6,4.82,216.09,rice
84.85,47.77,42.14,23.87,81.89,5.81,251.56,rice
53.09,58.34,48.47,30.89,92.59,7.05,160.82,papaya
25.55,47.96,19.62,30.38,44.37,4.93,47.05,mothbeans
41.01,67.76,22.59,30.84,68.7,6.38,65.68,blackgram
101.5,51.71,44.69,25.16,83.56,5.41,254.76,rice
31.38,50.11,20.27,29.98,83.71,7.23,61.47,mungbean
32.13,64.29,19.43,16.76,17.16,5.73,115.16,kidneybeans
29.68,64.75,23.22,30.04,61.91,7.22,68.66,blackgram
19.96,48.9,15.64,28.82,78.4,6.8,59.97,mungbean
82.37,51.62,39.04,22.32,86.53,6.14,267.94,rice
11.65,61.63,21.19,29.15,64.76,6.37,49.76,lentil
90.9,79.68,47.46,25.06,76.78,5.77,112.1,banana
31.77,58.96,23.03,18.96,20.45,5.77,62.8,kidneybeans
106.28,49.94,37.76,23.63,83.31,6.12,235.59,rice
52.73,49.97,55.14,31.03,93.32,6.85,137.67,papaya
73.75,47.66,21.29,20.87,65.93,5.97,77.36,maize
31.81,64.36,20.66,19.01,20.65,5.65,76.37,kidneybeans
88.46,87.85,50.66,28.8,79.96,5.78,103.93,banana
30.01,64.35,92.75,19.55,16.64,6.11,77.06,chickpea
65.58,63.97,88.65,20.54,20.01,7.02,89.06,chickpea
22.65,33.94,33.56,33.08,49.72,5.72,93.11,mango
118.96,23.87,50.5,28.45,91.47,6.91,23.68,muskmelon
